Property_Type,Location,Price,Price_Currency,Total_Area_m2,Covered_Area_m2,Room_number,Bathroom_number,Expenses,Expenses_Currency
Casa,"Ezeiza, Ezeiza, Buenos Aires",215000,USD,752,146, 4,3,30000,ARS
Casa,"Villa Luro, Capital Federal",325000,USD,277,257, 5,2,1,ARS
Casa,"San Jose De Guaymallen, Guaymallen, Mendoza",62000,USD,228,228, 8,3,N/A,N/A
Casa,"Valeria Del Mar, Pinamar, Buenos Aires",136000,USD,525,140, 4,3,N/A,N/A
Casa,"Pinamar, Pinamar, Buenos Aires",395000,USD,290,210, 4,3,N/A,N/A
Casa,"Moron, Moron, Buenos Aires",54900,USD,205,71, 3,1,N/A,N/A
Casa,"Olivos, Vicente Lopez, Buenos Aires",250000,USD,187.88,116.18, 4,2,N/A,N/A
Casa,"Mar Del Tuyu, De La Costa, Buenos Aires",49000,USD,90,67, 3,2,N/A,N/A
Casa,"Nahue Malal, San Carlos De Bariloche, Bariloche,",263000,USD,145,145, 4,2,N/A,N/A
Casa,"Tandil, Tandil, Buenos Aires",150000,USD,779,120, 5,1,N/A,N/A
Casa,"City Bell, La Plata, Buenos Aires",129000,USD,185,170, 4,3,N/A,N/A
Casa,"Haedo, Moron, Buenos Aires",133000,USD,266,170, 2,1,N/A,N/A
Casa,"Moron, Moron, Buenos Aires",97000,USD,342,140, 4,2,N/A,N/A
Casa,,198000,USD,560,150, 5,1,N/A,N/A
Casa,"Alejandro Korn, San Vicente, Buenos Aires",85000,USD,561,97, 5,2,N/A,N/A
Casa,"Aldo Bonzi, La Matanza, Buenos Aires",97000,USD,186,132, 5,2,N/A,N/A
Casa,"Longchamps, Almirante Brown, Buenos Aires",70000,USD,82,70, 3,1,N/A,N/A
Casa,"Villa Olivos, Garin, Escobar, Buenos Aires",359000,USD,343,265, 5,3,32000,ARS
Casa,"Mar Del Plata, General Pueyrredon, Buenos Aires",79900,USD,450,80, 4,1,N/A,N/A
Casa,"Ruta Nacional 0, Loma Verde, Belen De Escobar, Escobar, Buenos Aires",165000,USD,164.2,138.28, 3,2,N/A,N/A
Casa,"Causana,",389900,USD,2000,373, 9,4,N/A,N/A
Casa,"Martinez, San Isidro, Buenos Aires",310000,USD,179,179, 5,2,N/A,N/A
Casa,"Zelaya, Pilar, Buenos Aires",115000,USD,114,110, 4,2,20000,ARS
Casa,"Bernal Oeste, Quilmes, Buenos Aires",65000,USD,138,110, 3,1,N/A,N/A
Casa,"Manuel B Gonnet, La Plata, Buenos Aires",145000,USD,404,117, 5,1,N/A,N/A
Casa,"General Roca, General Roca,",31500,USD,80,80, 5,1,N/A,N/A
Casa,"General Roca, General Roca,",110000,USD,202,200, 5,3,N/A,N/A
Casa,"San Vicente, San Vicente, Buenos Aires",180000,USD,254,180, 5,3,N/A,N/A
Casa,"Moreno, Moreno, Buenos Aires",53000,USD,333,88, 3,1,N/A,N/A
Casa,"Boulogne, San Isidro, Buenos Aires",135000,USD,257,160, 3,2,N/A,N/A
Casa,"Ciudad Madero, La Matanza, Buenos Aires",105000,USD,193,85, 3,1,N/A,N/A
Casa,"Bahia Blanca, Bahia Blanca, Buenos Aires",149000,USD,200,200, 4,2,N/A,N/A
Casa,"Venado Tuerto, General Lopez, Santa Fe",33000,USD,77.9,59, 3,1,N/A,N/A
Casa,"Escobar, Cordoba, Capital,",130000,USD,246,198, 4,2,N/A,N/A
Casa,"Maipu, Maipu, Mendoza",58000,USD,275,60, 4,1,N/A,N/A
Casa,"Las Vegas, Lujan De Cuyo, Mendoza",50000,USD,147,147, 4,2,N/A,N/A
Casa,"Quilmes, Quilmes, Buenos Aires",64999,USD,148,134, 4,1,N/A,N/A
Casa,"Santo Tome, Santa Fe Capital, Santa Fe  Solicitar precio 135",Solicitar,precio,135,135, 7,1,N/A,N/A
Casa,"Monte Chingolo, Lanus, Buenos Aires",50000,USD,145.34,96.1, 3,1,N/A,N/A
Casa,"Quilmes, Quilmes, Buenos Aires",187000,USD,225,212, 4,2,N/A,N/A
Casa,"Quilmes, Quilmes, Buenos Aires",119000,USD,237,90, 3,1,N/A,N/A
Casa,"Mar Del Plata, General Pueyrredon, Buenos Aires",61900,USD,494,89, 4,1,N/A,N/A
Casa,"San Rafael, San Rafael, Mendoza",75000,USD,220,220, 5,2,N/A,N/A
Casa,Nordelta,530000,USD,697,236, 6,4,70000,ARS
Casa,"Olivos, Vicente Lopez, Buenos Aires",200000,USD,184.5,143, 4,2,N/A,N/A
Casa,"La Herradura, Pinamar, Pinamar, Buenos Aires",440000,USD,450,450, 5,3,18000,ARS
Casa,"Longchamps, Almirante Brown, Buenos Aires",140900,USD,233,130, 4,2,N/A,N/A
Casa,"La Herradura, Pinamar, Pinamar, Buenos Aires",370000,USD,232,232, 5,4,40000,USD
Casa,"Vicente Lopez, Vicente Lopez, Buenos Aires",298000,USD,280,160, 5,2,N/A,N/A
Casa,"Castelar, Moron, Buenos Aires",137000,USD,240,153, 4,1,N/A,N/A
Casa,"Isidro Casanova, La Matanza, Buenos Aires",59900,USD,310,63, 4,2,N/A,N/A
Casa,"Norte, Esperanza, Las Colonias, Santa Fe  Solicitar precio 113",Solicitar,precio,113,72, 2,1,N/A,N/A
Casa,"9 De Julio, Rafaela, Castellanos, Santa Fe  Solicitar precio",Solicitar,precio,455.8,101.35, 5,1,N/A,N/A
Casa,"Caseros, Tres De Febrero, Buenos Aires",275000,USD,433,233, 4,3,N/A,N/A
Casa,"Carlos Spegazzini, Ezeiza, Buenos Aires",109900,USD,725,100, 5,1,N/A,N/A
Casa,"Luis Guillon, Esteban Echeverria, Buenos Aires",44900,USD,330,60, 5,2,N/A,N/A
Casa,"Pinamar, Pinamar, Buenos Aires",175000,USD,132,132, 5,2,N/A,N/A
Casa,"Valeria Del Mar, Pinamar, Buenos Aires",128000,USD,129,129, 4,2,N/A,N/A
Casa,"Manuel B Gonnet, La Plata, Buenos Aires",120000,USD,150,148, 4,1,N/A,N/A
Casa,"Arroyo Seco, Rosario, Santa Fe",180000,USD,242,112, 4,2,N/A,N/A
Casa,"Lanus, Lanus, Buenos Aires",115000,USD,72.77,72.77, 3,1,N/A,N/A
Casa,"Benavidez Greens, Benavidez, Tigre, Buenos Aires",185000,USD,144,122, 3,1,N/A,N/A
Casa,"Villa Devoto, Capital Federal",1200000,USD,338,200, 5,2,N/A,N/A
Casa,"San Lorenzo, San Lorenzo, Santa Fe",59000,USD,192,182, 5,1,N/A,N/A
Casa,"Moron, Moron, Buenos Aires",55000,USD,200,134, 4,1,N/A,N/A
Casa,"Avellaneda, General Obligado, Santa Fe",160000,USD,315,315,N/A,5,N/A,N/A
Casa,"Moreno, Moreno, Buenos Aires",115000,USD,150,150, 5,2,N/A,N/A
Casa,"El Palomar, Moron, Buenos Aires",179000,USD,356,220, 4,2,N/A,N/A
Casa,"Costa Del Este, De La Costa, Buenos Aires",155000,USD,196,186, 4,1,N/A,N/A
Casa,"Merlo, Merlo, Buenos Aires",140000,USD,245,111, 4,2,N/A,N/A
Casa,"Rivadavia, Rivadavia, San Juan",65000,USD,400,116, 4,2,N/A,N/A
Casa,"Juez 1400, Nueva Pompeya, Capital Federal",129000,USD,247,200, 5,1,N/A,N/A
Casa,Puerto Del,170000,USD,159,120, 4,2,N/A,N/A
Casa,"Zona Norte, Santa Fe, Santa Fe Capital, Santa Fe",45000,USD,115,100, 3,1,N/A,N/A
Casa,"San Miguel, Buenos Aires",128500,USD,346.5,80, 3,1,N/A,N/A
Casa,"Villa Adelina, Vicente Lopez, Buenos Aires",120000,USD,82,79, 4,1,N/A,N/A
Casa,"La Pradera I, Villa Rosa, Pilar, Buenos Aires",329000,USD,1370.78,217.31, 7,3,46000,ARS
Casa,"El Canton, Escobar, Buenos Aires",360000,USD,310,290, 7,3,53000,ARS
